rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,2.92,0.2,93.83
2,2,Barcelona,Spanish Primera Division,3.14,0.43,91.93
3,3,Bayern Munich,German Bundesliga,3.18,0.51,91.13
4,4,Liverpool,Barclays Premier League,2.66,0.36,89.56
5,5,Real Madrid,Spanish Primera Division,2.48,0.41,87.1
6,8,Paris Saint-Germain,French Ligue 1,2.66,0.53,86.63
7,6,Atletico Madrid,Spanish Primera Division,2.19,0.32,86.0
8,7,Chelsea,Barclays Premier League,2.33,0.41,85.58
9,12,Atalanta,Italy Serie A,2.53,0.56,84.69
10,9,Manchester United,Barclays Premier League,2.43,0.54,84.2
11,10,Borussia Dortmund,German Bundesliga,2.58,0.62,84.17
12,13,Juventus,Italy Serie A,2.51,0.6,83.9
13,11,RB Leipzig,German Bundesliga,2.38,0.55,83.26
14,14,Internazionale,Italy Serie A,2.47,0.62,82.98
15,20,Sevilla FC,Spanish Primera Division,2.18,0.49,81.96
16,17,Villarreal,Spanish Primera Division,2.1,0.46,81.81
17,18,Arsenal,Barclays Premier League,2.19,0.51,81.76
18,16,Real Sociedad,Spanish Primera Division,2.15,0.5,81.46
19,22,Leicester City,Barclays Premier League,2.14,0.51,81.17
20,19,Bayer Leverkusen,German Bundesliga,2.17,0.55,80.59
21,15,Tottenham Hotspur,Barclays Premier League,2.24,0.61,80.18
22,21,Napoli,Italy Serie A,2.27,0.67,79.47
23,23,Ajax,Dutch Eredivisie,2.66,0.92,79.34
24,27,Lyon,French Ligue 1,2.2,0.65,78.9
25,24,FC Salzburg,Austrian T-Mobile Bundesliga,2.82,1.07,78.63
26,25,Aston Villa,Barclays Premier League,2.21,0.68,78.21
27,29,Borussia Monchengladbach,German Bundesliga,2.34,0.83,77.02
28,32,Eintracht Frankfurt,German Bundesliga,2.28,0.8,76.73
29,31,VfL Wolfsburg,German Bundesliga,2.07,0.67,76.58
30,26,AS Roma,Italy Serie A,2.27,0.8,76.52
31,28,AC Milan,Italy Serie A,2.22,0.79,76.18
32,30,West Ham United,Barclays Premier League,2.05,0.68,76.06
33,33,FC Porto,Portuguese Liga,2.13,0.75,75.65
34,35,Lille,French Ligue 1,1.79,0.54,75.05
35,34,Everton,Barclays Premier League,1.96,0.67,74.74
36,39,Brighton and Hove Albion,Barclays Premier League,1.93,0.65,74.69
37,37,Zenit St Petersburg,Russian Premier Liga,2.15,0.82,74.32
38,40,AS Monaco,French Ligue 1,2.16,0.83,74.16
39,41,Lazio,Italy Serie A,2.11,0.83,73.56
40,36,Benfica,Portuguese Liga,2.15,0.87,73.14
41,38,Southampton,Barclays Premier League,1.86,0.67,73.1
42,47,Athletic Bilbao,Spanish Primera Division,1.84,0.66,73.06
43,42,Celta Vigo,Spanish Primera Division,1.93,0.74,72.54
44,46,Wolverhampton,Barclays Premier League,1.82,0.66,72.44
45,44,Real Betis,Spanish Primera Division,1.97,0.8,71.82
46,49,Flamengo,Brasileiro Série A,2.13,0.92,71.78
47,45,Shakhtar Donetsk,UEFA Europa League,2.23,1.0,71.75
48,48,Olympiacos,Greek Super League,1.91,0.78,71.43
49,51,Eibar,Spanish Primera Division,1.7,0.63,71.18
50,53,VfB Stuttgart,German Bundesliga,2.13,0.96,70.81
51,50,Club Brugge,Belgian Jupiler League,1.94,0.84,70.37
52,43,Getafe,Spanish Primera Division,1.65,0.62,70.34
53,52,1. FC Union Berlin,German Bundesliga,1.84,0.77,70.26
54,54,TSG Hoffenheim,German Bundesliga,2.12,0.99,70.0
55,57,Rangers,Scottish Premiership,1.92,0.86,69.63
56,55,SC Freiburg,German Bundesliga,2.04,0.97,69.04
57,56,Young Boys,Swiss Raiffeisen Super League,1.96,0.95,68.23
58,64,Sporting CP,Portuguese Liga,1.69,0.74,68.15
59,63,Osasuna,Spanish Primera Division,1.72,0.78,67.77
60,58,Levante,Spanish Primera Division,1.94,0.96,67.55
61,60,Leeds United,Barclays Premier League,2.05,1.05,67.46
62,62,Burnley,Barclays Premier League,1.66,0.75,67.17
63,61,Stade Rennes,French Ligue 1,1.62,0.73,67.12
64,59,Hertha Berlin,German Bundesliga,1.82,0.9,66.72
65,66,Dinamo Zagreb,UEFA Europa League,1.98,1.04,66.47
66,67,Fiorentina,Italy Serie A,1.74,0.85,66.39
67,68,FC Krasnodar,Russian Premier Liga,1.86,0.95,66.14
68,69,PSV,Dutch Eredivisie,2.05,1.13,65.75
69,65,Crystal Palace,Barclays Premier League,1.74,0.87,65.74
70,72,River Plate,Argentina Primera Division,1.74,0.88,65.48
71,74,Udinese,Italy Serie A,1.66,0.82,65.45
72,78,Werder Bremen,German Bundesliga,1.75,0.89,65.42
73,76,Valencia,Spanish Primera Division,1.82,0.98,64.93
74,70,Granada,Spanish Primera Division,1.68,0.86,64.92
75,77,CSKA Moscow,Russian Premier Liga,1.72,0.89,64.9
76,75,Alavés,Spanish Primera Division,1.68,0.86,64.9
77,71,Fulham,Barclays Premier League,1.66,0.84,64.83
78,79,Besiktas,Turkish Turkcell Super Lig,2.05,1.18,64.46
79,81,Slavia Prague,UEFA Europa League,1.92,1.08,64.42
80,86,Sheffield United,Barclays Premier League,1.61,0.82,64.36
81,85,Internacional,Brasileiro Série A,1.65,0.86,64.34
82,89,Brentford,English League Championship,1.64,0.85,64.26
83,73,Cadiz,Spanish Primera Division,1.57,0.8,64.22
84,82,Braga,Portuguese Liga,1.78,0.98,64.15
85,80,Marseille,French Ligue 1,1.6,0.83,64.11
86,90,Strasbourg,French Ligue 1,1.72,0.95,63.55
87,83,Dynamo Kiev,UEFA Europa League,1.87,1.08,63.45
88,91,Galatasaray,Turkish Turkcell Super Lig,1.85,1.08,63.11
89,84,Lens,French Ligue 1,1.59,0.87,62.92
90,92,Real Valladolid,Spanish Primera Division,1.58,0.88,62.51
91,88,Sassuolo,Italy Serie A,1.88,1.13,62.36
92,93,SD Huesca,Spanish Primera Division,1.54,0.85,62.28
93,87,LASK Linz,Austrian T-Mobile Bundesliga,1.86,1.13,62.03
94,100,AZ,Dutch Eredivisie,1.99,1.24,61.98
95,118,Verona,Italy Serie A,1.63,0.93,61.93
96,94,Spartak Moscow,Russian Premier Liga,1.65,0.95,61.89
97,96,Guangzhou Evergrande,Chinese Super League,1.87,1.15,61.79
98,97,Bodo/Glimt,Norwegian Tippeligaen,2.33,1.55,61.76
99,98,Monterrey,Mexican Primera Division Torneo Clausura,1.71,1.02,61.6
100,101,FC Midtjylland,Danish SAS-Ligaen,1.77,1.08,61.35
101,104,Kawasaki Frontale,Japanese J League,1.93,1.23,61.07
102,99,Bordeaux,French Ligue 1,1.49,0.86,60.95
103,102,Atletico Mineiro,Brasileiro Série A,1.66,1.01,60.72
104,123,Mainz,German Bundesliga,1.81,1.15,60.64
105,120,Sampdoria,Italy Serie A,1.76,1.1,60.62
106,108,PAOK Salonika,Greek Super League,1.47,0.85,60.57
107,109,Celtic,Scottish Premiership,1.83,1.17,60.55
108,105,Newcastle,Barclays Premier League,1.57,0.94,60.48
109,114,Angers,French Ligue 1,1.46,0.85,60.45
110,110,AFC Bournemouth,English League Championship,1.64,1.01,60.36
111,111,Norwich City,English League Championship,1.67,1.04,60.35
112,103,Palmeiras,Brasileiro Série A,1.51,0.9,60.27
113,113,Boca Juniors,Argentina Primera Division,1.47,0.87,60.25
114,106,Bologna,Italy Serie A,1.68,1.06,60.14
115,116,Watford,English League Championship,1.54,0.94,60.02
116,119,Torino,Italy Serie A,1.64,1.04,59.8
117,115,FC Cologne,German Bundesliga,1.65,1.04,59.77
118,121,FC Augsburg,German Bundesliga,1.6,1.01,59.49
119,117,São Paulo,Brasileiro Série A,1.54,0.96,59.33
120,129,Bragantino,Brasileiro Série A,1.53,0.97,59.13
121,126,Metz,French Ligue 1,1.39,0.84,59.08
122,95,Grêmio,Brasileiro Série A,1.48,0.92,59.04
123,130,Fenerbahce,Turkish Turkcell Super Lig,1.85,1.25,58.97
124,112,Espanyol,Spanish Segunda Division,1.44,0.89,58.87
125,127,Shanghai SIPG,Chinese Super League,1.69,1.13,58.37
126,128,Beijing Guoan,Chinese Super League,1.76,1.21,58.34
127,124,Tigres UANL,Mexican Primera Division Torneo Clausura,1.55,1.02,58.3
128,131,Molde,Norwegian Tippeligaen,2.09,1.53,57.72
129,107,Feyenoord,Dutch Eredivisie,1.76,1.23,57.64
130,133,AEK Athens,Greek Super League,1.52,1.02,57.39
131,122,Arminia Bielefeld,German Bundesliga,1.49,1.0,57.28
132,134,Sparta Prague,UEFA Europa League,1.74,1.25,56.89
133,135,Brest,French Ligue 1,1.66,1.18,56.75
134,136,Maccabi Tel-Aviv,UEFA Europa League,1.48,1.01,56.68
135,137,Reims,French Ligue 1,1.44,0.98,56.47
136,125,St Etienne,French Ligue 1,1.44,1.0,56.34
137,138,Malmo FF,Swedish Allsvenskan,1.73,1.27,56.09
138,141,Red Star Belgrade,UEFA Europa League,1.75,1.31,55.76
139,142,Elche,Spanish Primera Division,1.47,1.05,55.58
140,144,Genk,Belgian Jupiler League,1.88,1.43,55.55
141,147,Spezia,Italy Serie A,1.58,1.16,55.4
142,139,Benevento,Italy Serie A,1.63,1.21,55.37
143,143,Genoa,Italy Serie A,1.48,1.08,55.17
144,164,Rapid Vienna,Austrian T-Mobile Bundesliga,1.86,1.44,55.04
145,145,Cruz Azul,Mexican Primera Division Torneo Clausura,1.54,1.16,54.58
146,148,Sochi,Russian Premier Liga,1.45,1.07,54.58
147,149,Trabzonspor,Turkish Turkcell Super Lig,1.56,1.18,54.55
148,146,Nantes,French Ligue 1,1.4,1.03,54.49
149,153,Nice,French Ligue 1,1.45,1.08,54.43
150,132,Basel,Swiss Raiffeisen Super League,1.72,1.34,54.4
151,151,Ferencvaros,UEFA Champions League,1.62,1.26,53.98
152,165,FC Utrecht,Dutch Eredivisie,1.64,1.28,53.92
153,140,Montpellier,French Ligue 1,1.6,1.24,53.91
154,152,Lokomotiv Moscow,Russian Premier Liga,1.42,1.08,53.82
155,154,Club América,Mexican Primera Division Torneo Clausura,1.45,1.11,53.61
156,155,Dinamo Moscow,Russian Premier Liga,1.33,1.0,53.57
157,160,Ceará,Brasileiro Série A,1.41,1.08,53.52
158,156,Velez Sarsfield,Argentina Primera Division,1.22,0.9,53.34
159,158,Hapoel Be'er,UEFA Europa League,1.62,1.29,53.32
160,177,Pacos Ferreira,Portuguese Liga,1.37,1.05,53.26
161,168,Guimaraes,Portuguese Liga,1.35,1.04,53.15
162,166,CSKA Sofia,UEFA Europa League,1.32,1.02,52.77
163,150,Swansea City,English League Championship,1.31,1.01,52.76
164,167,Rostov,Russian Premier Liga,1.39,1.09,52.68
165,172,Blackburn,English League Championship,1.44,1.14,52.67
166,169,Cagliari,Italy Serie A,1.63,1.33,52.56
167,162,Schalke 04,German Bundesliga,1.58,1.29,52.51
168,173,Stoke City,English League Championship,1.29,1.01,52.36
169,161,West Bromwich Albion,Barclays Premier League,1.52,1.24,52.33
170,157,Vitesse,Dutch Eredivisie,1.59,1.32,51.89
171,175,Antwerp,Belgian Jupiler League,1.45,1.19,51.83
172,176,Defensa y Justicia,Argentina Primera Division,1.28,1.02,51.81
173,163,Corinthians,Brasileiro Série A,1.32,1.06,51.81
174,179,Santos Laguna,Mexican Primera Division Torneo Clausura,1.44,1.19,51.45
175,170,Anderlecht,Belgian Jupiler League,1.33,1.09,51.28
176,180,Jiangsu Suning FC,Chinese Super League,1.5,1.26,51.28
